event_slug,direction,entry_minute,btc_abs_move,sigma,edge,market_fv_up,would_fill_at,market_gap,book_spread,book_bid_depth_usd,book_ask_depth_usd,resolution,would_pnl_per_share,event_start_ts
btc-updown-15m-1775190600,up,11,61.7,0.0005735451625111016,0.4378,0.7906,0.64,0.1506,0.01,260,4964,win,0.36,1775190600
btc-updown-15m-1775223000,down,9,46.44,0.0004183095099888801,0.402,0.2482,0.84,0.0882,0.01,218,8348,win,0.16,1775223000
btc-updown-15m-1775223000,down,10,47.88,0.000418113914082511,0.428,0.221,0.89,0.111,0.01,184,6914,win,0.16,1775223000
btc-updown-15m-1775223000,down,11,57.26,0.00041791551555798914,0.4747,0.1519,0.95,0.1019,0.01,153,6421,win,0.16,1775223000
btc-updown-15m-1775223900,down,7,40.22,0.00041360082841760965,0.3369,0.3028,0.75,0.0528,0.01,286,9416,loss,-0.75,1775223900
btc-updown-15m-1775223900,up,8,15.05,0.0004134304496123922,0.1528,0.5818,0.46,0.1218,0.01,229,7615,loss,-0.75,1775223900
btc-updown-15m-1775223900,up,9,82.65,0.0004142774337885595,0.4899,0.8892,0.84,0.0492,0.01,215,6351,loss,-0.75,1775223900
btc-updown-15m-1775223900,up,10,67.56,0.00041502402693652414,0.4811,0.8627,0.77,0.0927,0.01,198,6637,loss,-0.75,1775223900
btc-updown-15m-1775223900,up,11,56.42,0.00041499969476688323,0.4738,0.8462,0.77,0.0762,0.01,191,6782,loss,-0.75,1775223900
btc-updown-15m-1775227500,up,4,38.99,0.00041907857824403645,0.2875,0.6626,0.74,0.0774,0.01,354,16058,win,0.26,1775227500
btc-updown-15m-1775227500,up,5,58.65,0.00041887300446084494,0.3959,0.7461,0.82,0.0739,0.01,311,14208,win,0.26,1775227500
btc-updown-15m-1775227500,up,6,70.27,0.0004190728714903066,0.444,0.7984,0.86,0.0616,0.01,303,16526,win,0.26,1775227500
btc-updown-15m-1775227500,up,7,54.29,0.0004188652995276189,0.4037,0.7534,0.86,0.1066,0.01,299,17345,win,0.26,1775227500
btc-updown-15m-1775227500,up,8,122.03,0.0004187732148979523,0.4991,0.9501,0.94,0.0101,0.01,228,22900,win,0.26,1775227500
btc-updown-15m-1775227500,up,10,108.58,0.0004185330049238366,0.4995,0.9586,0.97,0.0114,0.01,213,16347,win,0.26,1775227500
btc-updown-15m-1775227500,up,11,138.34,0.0004185330049238366,0.5,0.98,0.98,0,0.01,197,13606,win,0.26,1775227500
btc-updown-15m-1775230200,down,8,34.11,0.0004205329145867563,0.3081,0.3234,0.71,0.0334,0.01,332,13921,win,0.29,1775230200
btc-updown-15m-1775230200,down,9,32.84,0.0004203483190169713,0.3176,0.3168,0.71,0.0268,0.01,320,13240,win,0.29,1775230200
btc-updown-15m-1775230200,down,10,17.76,0.0004194298852193827,0.2047,0.3886,0.65,0.0386,0.01,285,11198,win,0.29,1775230200
btc-updown-15m-1775230200,down,11,59.01,0.00041967156638459313,0.4771,0.1467,0.92,0.0667,0.01,256,11346,win,0.29,1775230200
btc-updown-15m-1775232900,up,10,43.97,0.00041625140877079046,0.4102,0.7598,0.88,0.1202,0.01,233,12739,win,0.12,1775232900
btc-updown-15m-1775232900,up,11,60.73,0.0004161176698919392,0.4809,0.8622,0.95,0.0878,0.01,182,10175,win,0.12,1775232900
btc-updown-15m-1775233800,down,7,29.79,0.00041713127681626316,0.2632,0.3531,0.77,0.1231,0.01,333,14107,win,0.23,1775233800
btc-updown-15m-1775233800,down,8,46.26,0.0004169957479459426,0.383,0.2656,0.8,0.0656,0.01,303,13643,win,0.23,1775233800
btc-updown-15m-1775233800,down,9,41.49,0.0004167933523828216,0.3757,0.272,0.8,0.072,0.01,293,12880,win,0.23,1775233800
btc-updown-15m-1775233800,down,10,53.9,0.00041718487662999925,0.4495,0.1941,0.92,0.1141,0.01,239,10540,win,0.23,1775233800
btc-updown-15m-1775233800,down,11,5.29,0.00041760671947969533,0.0713,0.4623,0.54,0.0023,0.01,219,10335,win,0.23,1775233800
btc-updown-15m-1775244600,up,4,6.52,0.0003762810044487569,0.0591,0.5312,0.48,0.0512,0.01,559,27459,win,0.52,1775244600
btc-updown-15m-1775244600,up,5,25.55,0.0003761968502455235,0.2295,0.6261,0.66,0.0339,0.01,360,16134,win,0.52,1775244600
btc-updown-15m-1775244600,up,6,31.17,0.00037601745763276033,0.2842,0.6604,0.68,0.0196,0.01,353,14530,win,0.52,1775244600
btc-updown-15m-1775244600,up,7,20.19,0.0003758683577370174,0.2056,0.6119,0.64,0.0281,0.01,348,15349,win,0.52,1775244600
btc-updown-15m-1775244600,up,8,18.01,0.0003756832239821412,0.197,0.6069,0.64,0.0331,0.01,301,17124,win,0.52,1775244600
btc-updown-15m-1775244600,up,9,18,0.0003754964962186544,0.2112,0.6152,0.68,0.0648,0.01,291,16320,win,0.52,1775244600
btc-updown-15m-1775244600,up,11,58.83,0.0003754099333363764,0.4871,0.8795,0.96,0.0805,0.01,195,12928,win,0.52,1775244600
btc-updown-15m-1775245500,up,5,44.52,0.00037233571450838264,0.3587,0.7141,0.84,0.1259,0.01,353,15604,win,0.16,1775245500
btc-updown-15m-1775245500,up,6,20.7,0.00037232414762363434,0.2008,0.6092,0.75,0.1408,0.01,347,15969,win,0.16,1775245500
btc-updown-15m-1775245500,up,8,23.13,0.0003711874494412259,0.2484,0.6376,0.81,0.1724,0.01,333,14668,win,0.16,1775245500
btc-updown-15m-1775245500,up,9,19.08,0.0003710073629449014,0.2247,0.6232,0.8,0.1768,0.01,324,13314,win,0.16,1775245500
btc-updown-15m-1775245500,up,10,6.85,0.0003708687897783751,0.0928,0.5492,0.74,0.1908,0.01,308,12489,win,0.16,1775245500
btc-updown-15m-1775245500,down,11,2.32,0.0003707102484032067,0.0354,0.4813,0.33,0.1887,0.01,276,10832,win,0.16,1775245500
btc-updown-15m-1775327400,down,4,34.71,0.0002190844056239646,0.4113,0.239,0.66,0.101,0.01,372,15445,win,0.34,1775327400
btc-updown-15m-1775327400,down,5,34.7,0.00021898921583547826,0.4215,0.2283,0.72,0.0517,0.01,360,13857,win,0.34,1775327400
btc-updown-15m-1775327400,down,6,34.39,0.00021888003100843916,0.4304,0.2183,0.73,0.0517,0.01,386,13431,win,0.34,1775327400
btc-updown-15m-1775327400,down,7,34.39,0.00021877110035804342,0.4417,0.2045,0.77,0.0255,0.01,337,13361,win,0.34,1775327400
btc-updown-15m-1775327400,down,8,40.16,0.00021866232774553376,0.475,0.1512,0.85,0.0012,0.01,296,11956,win,0.34,1775327400
btc-updown-15m-1775327400,down,9,27.69,0.00021857306893915423,0.4279,0.2212,0.76,0.0188,0.01,301,11829,win,0.34,1775327400
btc-updown-15m-1775327400,down,10,27.39,0.0002185369261433993,0.4433,0.2025,0.8,0.0025,0.01,256,9616,win,0.34,1775327400
btc-updown-15m-1775327400,down,11,20.65,0.00021845022745858547,0.409,0.2413,0.79,0.0313,0.01,234,9645,win,0.34,1775327400
btc-updown-15m-1775404800,up,11,12.15,0.00032689171495111204,0.2001,0.6087,0.69,0.0813,0.01,209,6333,loss,-0.69,1775404800
btc-updown-15m-1775408400,up,4,5.51,0.00033238041920648334,0.0562,0.5296,0.55,0.0204,0.02,340,12532,win,0.45,1775408400
btc-updown-15m-1775408400,up,5,5.51,0.0003322146849090888,0.059,0.5311,0.57,0.0389,0.01,305,11619,win,0.45,1775408400
btc-updown-15m-1775408400,up,6,19.12,0.0003321290493105888,0.2063,0.6123,0.64,0.0277,0.01,299,11768,win,0.45,1775408400
btc-updown-15m-1775408400,up,7,32.09,0.0003320195154426964,0.333,0.6944,0.68,0.0144,0.01,296,11760,win,0.45,1775408400
btc-updown-15m-1775408400,up,8,14.1,0.00033262899003570637,0.1747,0.5942,0.75,0.1558,0.01,245,9681,win,0.45,1775408400
btc-updown-15m-1775408400,up,9,34.75,0.0003326043290624291,0.386,0.737,0.88,0.143,0.01,220,8229,win,0.45,1775408400
btc-updown-15m-1775408400,up,10,44,0.00033246645420948546,0.4528,0.8105,0.87,0.0595,0.01,199,8713,win,0.45,1775408400
btc-updown-15m-1775408400,up,11,52.89,0.0003323265749081242,0.4877,0.8816,0.95,0.0684,0.01,155,3846,win,0.45,1775408400
btc-updown-15m-1775498400,down,5,27.26,0.0005397905840406689,0.1688,0.4092,0.7,0.1092,0.01,256,13127,loss,-0.7,1775498400
btc-updown-15m-1775498400,down,6,46.51,0.0005395664382041324,0.284,0.3397,0.8,0.1397,0.01,251,12258,loss,-0.7,1775498400
btc-updown-15m-1775498400,down,7,12.12,0.0005392981612420529,0.086,0.4545,0.72,0.1745,0.01,267,15415,loss,-0.7,1775498400
btc-updown-15m-1775498400,down,8,18.07,0.0005390418048979939,0.1355,0.4277,0.74,0.1677,0.01,260,11794,loss,-0.7,1775498400
btc-updown-15m-1775498400,down,9,23.22,0.0005391828867489568,0.1846,0.4002,0.73,0.1302,0.04,236,11739,loss,-0.7,1775498400
btc-updown-15m-1775498400,up,11,147.76,0.0005443026053730452,0.4999,0.9744,0.88,0.0944,0.02,213,2918,loss,-0.7,1775498400
btc-updown-15m-1775620800,up,5,93.81,0.0008389349023892479,0.327,0.6899,0.87,0.1801,0.01,122,1325,win,0.13,1775620800
btc-updown-15m-1775620800,up,6,204.08,0.0008398548762002901,0.4845,0.8717,0.96,0.0883,0.02,119,2489,win,0.13,1775620800
btc-updown-15m-1775620800,up,7,203.31,0.0008394371086745626,0.4887,0.8848,0.95,0.0652,0.01,115,2048,win,0.13,1775620800
btc-updown-15m-1775620800,up,8,212.62,0.0008390224494535465,0.4946,0.9101,0.98,0.0699,0.01,125,3240,win,0.13,1775620800
btc-updown-15m-1775620800,up,9,192.52,0.000838667249712259,0.4937,0.9054,0.98,0.0746,0.01,81,3387,win,0.13,1775620800
btc-updown-15m-1775620800,up,10,213.34,0.0008382855684748668,0.4988,0.9446,0.995,0.0504,0.002,93,17517,win,0.13,1775620800
btc-updown-15m-1775620800,up,11,247.62,0.0008379803511655321,0.5,0.98,0.998,0.018,0.001,33,16976,win,0.13,1775620800
btc-updown-15m-1775650500,down,6,111.48,0.0007449210573159243,0.4068,0.2435,0.84,0.0835,0.01,264,10695,win,0.16,1775650500
btc-updown-15m-1775650500,down,7,142.72,0.0007455717666322433,0.4635,0.1728,0.91,0.0828,0.01,264,7382,win,0.16,1775650500
btc-updown-15m-1775650500,down,8,113.18,0.0007453018836916174,0.4358,0.212,0.87,0.082,0.01,262,7948,win,0.16,1775650500
btc-updown-15m-1775650500,down,9,121.84,0.000745751393728649,0.4614,0.1764,0.9,0.0764,0.01,258,8948,win,0.16,1775650500
btc-updown-15m-1775650500,down,10,139.9,0.0007453815371913368,0.4869,0.1211,0.93,0.0511,0.01,246,6238,win,0.16,1775650500
btc-updown-15m-1775650500,down,11,115.42,0.0007454314476882215,0.4798,0.1404,0.94,0.0804,0.01,226,3810,win,0.16,1775650500
btc-updown-15m-1775651400,up,10,135.05,0.0007250427462244022,0.4863,0.8769,0.95,0.0731,0.01,314,7262,win,0.05,1775651400
btc-updown-15m-1775651400,up,11,99.55,0.0007248762129334408,0.4654,0.8305,0.953,0.1225,0.001,49,26027,win,0.05,1775651400
btc-updown-15m-1775726100,down,11,109,0.0004747931355594162,0.4989,0.0537,0.91,0.0363,0.01,148,4649,win,0.09,1775726100
btc-updown-15m-1775727000,down,5,41.21,0.00047303693318790155,0.2688,0.3495,0.76,0.1095,0.01,266,5113,win,0.24,1775727000
btc-updown-15m-1775727000,down,6,41.23,0.00047281752485565606,0.281,0.3417,0.75,0.0917,0.01,263,5248,win,0.24,1775727000
btc-updown-15m-1775727000,down,7,56.97,0.0004725896266806522,0.3723,0.2749,0.85,0.1249,0.01,185,10407,win,0.24,1775727000
btc-updown-15m-1775727000,down,8,66.36,0.0004724530445135094,0.4217,0.2281,0.89,0.1181,0.01,198,7776,win,0.24,1775727000
btc-updown-15m-1775727000,down,9,58.38,0.0004722449566139414,0.411,0.2394,0.89,0.1294,0.01,185,7338,win,0.24,1775727000
btc-updown-15m-1775727000,down,10,41.24,0.000472301935172764,0.3513,0.2918,0.86,0.1518,0.01,177,5006,win,0.24,1775727000
btc-updown-15m-1775727000,down,11,41.25,0.00047206693342110505,0.3781,0.2699,0.9,0.1699,0.01,156,4894,win,0.24,1775727000
btc-updown-15m-1775727900,up,4,23.84,0.00047087917949299116,0.1579,0.5847,0.83,0.2453,0.01,230,9120,win,0.17,1775727900
btc-updown-15m-1775727900,up,5,34.15,0.00047078266120301513,0.2295,0.6261,0.87,0.2439,0.01,191,8227,win,0.17,1775727900
btc-updown-15m-1775727900,up,6,45.97,0.00047058418584994505,0.3072,0.676,0.9,0.224,0.01,3,734,win,0.17,1775727900
btc-updown-15m-1775727900,up,7,40.18,0.0004705279277278031,0.2895,0.6639,0.92,0.2561,0.01,3,4551,win,0.17,1775727900
btc-updown-15m-1775727900,up,8,39.37,0.0004702973614356834,0.3004,0.6713,0.95,0.2787,0.01,3,3407,win,0.17,1775727900
btc-updown-15m-1775727900,up,9,99.23,0.0004702297767112872,0.4891,0.8863,0.99,0.1037,0,4,0,win,0.17,1775727900
btc-updown-15m-1775727900,up,10,141.39,0.00047083613003775495,0.4998,0.97,0.99,0.02,0,4,0,win,0.17,1775727900
btc-updown-15m-1775727900,up,11,210.61,0.0004705159272695692,0.5,0.98,0.998,0.018,0.001,16,9809,win,0.17,1775727900
btc-updown-15m-1775728800,down,7,70.79,0.0004692808487671961,0.422,0.2277,0.95,0.1777,0.01,88,3725,win,0.05,1775728800
btc-updown-15m-1775728800,down,8,80.64,0.00046906584329141316,0.4581,0.1816,0.96,0.1416,0.01,88,2447,win,0.05,1775728800
btc-updown-15m-1775728800,down,9,84.02,0.00046883366689705406,0.4742,0.1529,0.98,0.1329,0.01,88,2115,win,0.05,1775728800
btc-updown-15m-1775728800,down,10,104.15,0.0004686829501576967,0.4959,0.0821,0.99,0.0721,0,88,0,win,0.05,1775728800
btc-updown-15m-1775728800,down,11,128.61,0.0004685723434402592,0.4999,0.0273,0.99,0.0173,0,92,0,win,0.05,1775728800
btc-updown-15m-1775754900,down,11,232.13,0.0005960268774846645,0.5,0.02,0.98,0,0.01,189,5080,win,0.02,1775754900
btc-updown-15m-1775795400,down,4,33.63,0.0007196126184354076,0.1454,0.4223,0.61,0.0323,0.01,313,13838,loss,-0.61,1775795400
btc-updown-15m-1775795400,down,5,37.61,0.0007192532822192472,0.1691,0.409,0.67,0.079,0.01,268,12965,loss,-0.61,1775795400
btc-updown-15m-1775795400,down,6,24.24,0.0007189096653364879,0.1169,0.4379,0.65,0.0879,0.01,264,12715,loss,-0.61,1775795400
btc-updown-15m-1775795400,up,7,28.29,0.0007185557893654896,0.1436,0.5768,0.77,0.1932,0.01,275,11881,loss,-0.61,1775795400
btc-updown-15m-1775795400,up,9,38.11,0.0007181004164124396,0.2167,0.6184,0.85,0.2316,0.01,252,10329,loss,-0.61,1775795400
btc-updown-15m-1775795400,up,10,28.79,0.0007177569054625043,0.1824,0.5985,0.81,0.2115,0.02,243,9614,loss,-0.61,1775795400
btc-updown-15m-1775795400,up,11,12.1,0.0007174409334740017,0.0882,0.5467,0.73,0.1833,0.01,219,9251,loss,-0.61,1775795400
btc-updown-15m-1775800800,down,4,8.19,0.0007194402895587267,0.036,0.481,0.56,0.041,0.01,223,3680,loss,-0.56,1775800800
btc-updown-15m-1775800800,up,5,30.86,0.0007192738005171585,0.1397,0.5746,0.64,0.0654,0.01,62,3524,loss,-0.56,1775800800
btc-updown-15m-1775800800,up,6,24.42,0.0007189218757221368,0.1173,0.5624,0.63,0.0676,0.01,51,3579,loss,-0.56,1775800800
btc-updown-15m-1775800800,up,7,25.31,0.0007185630451044193,0.1286,0.5685,0.64,0.0715,0.01,49,3486,loss,-0.56,1775800800
btc-updown-15m-1775800800,up,8,9.15,0.0007182440893811347,0.0505,0.5266,0.55,0.0234,0.01,131,3496,loss,-0.56,1775800800
btc-updown-15m-1775800800,down,9,24.93,0.0007180503338485142,0.1457,0.4221,0.72,0.1421,0.01,65,3700,loss,-0.56,1775800800
btc-updown-15m-1775800800,down,10,30.52,0.0007180503338485142,0.1919,0.396,0.74,0.136,0.01,56,1712,loss,-0.56,1775800800
btc-updown-15m-1775933100,up,8,58.05,0.0003393272641405921,0.4528,0.8106,0.69,0.1206,0.01,288,14641,win,0.31,1775933100
btc-updown-15m-1775933100,up,9,59.35,0.00033915771347232276,0.4677,0.8345,0.72,0.1145,0.01,274,13155,win,0.31,1775933100
btc-updown-15m-1775933100,up,10,55.89,0.0003389926327087598,0.4718,0.8422,0.73,0.1122,0.02,287,12312,win,0.31,1775933100
btc-updown-15m-1775933100,up,11,56.74,0.0003388234583735444,0.4849,0.8728,0.75,0.1228,0.01,274,10742,win,0.31,1775933100
btc-updown-15m-1775934900,down,6,104.67,0.00034871184278565363,0.4951,0.0869,0.81,0.1031,0.01,382,15645,loss,-0.81,1775934900
btc-updown-15m-1775934900,down,8,100.54,0.0003485260137889124,0.4976,0.0692,0.79,0.1408,0.01,336,11866,loss,-0.81,1775934900
btc-updown-15m-1775934900,down,9,87.76,0.0003484052168714284,0.4961,0.0811,0.8,0.1189,0.01,338,12197,loss,-0.81,1775934900
btc-updown-15m-1775934900,down,10,92.76,0.0003482313450105038,0.499,0.0527,0.85,0.0973,0.01,316,11790,loss,-0.81,1775934900
btc-updown-15m-1775934900,down,11,55.91,0.0003481243816810381,0.481,0.1376,0.68,0.1824,0.01,319,12117,loss,-0.81,1775934900
btc-updown-15m-1775935800,up,4,28.13,0.0003522612904337304,0.2328,0.6281,0.61,0.0181,0.01,474,17355,win,0.39,1775935800
btc-updown-15m-1775935800,up,5,36.83,0.0003520938503591128,0.3034,0.6733,0.69,0.0167,0.01,379,16670,win,0.39,1775935800
btc-updown-15m-1775935800,up,6,64.03,0.00035192089720415676,0.4412,0.7948,0.74,0.0548,0.01,350,15696,win,0.39,1775935800
btc-updown-15m-1775935800,up,7,18.98,0.00035174748978096765,0.1888,0.6022,0.67,0.0678,0.01,336,17680,win,0.39,1775935800
btc-updown-15m-1775935800,down,9,16.59,0.00035195010769508757,0.1903,0.3969,0.43,0.1731,0.01,374,14251,win,0.39,1775935800
btc-updown-15m-1775935800,up,10,17.73,0.0003520693830087204,0.2195,0.6201,0.71,0.0899,0.02,300,12206,win,0.39,1775935800
btc-updown-15m-1775935800,up,11,10.93,0.0003520693830087204,0.1557,0.5835,0.71,0.1265,0.01,297,11261,win,0.39,1775935800
btc-updown-15m-1775977200,down,4,28.81,0.0005328980694523778,0.1674,0.41,0.8,0.21,0.01,375,14452,win,0.2,1775977200
btc-updown-15m-1775977200,down,5,29.02,0.0005326322378426603,0.1763,0.4049,0.8,0.2049,0.01,360,13420,win,0.2,1775977200
btc-updown-15m-1775977200,down,6,32.96,0.000532368101806623,0.2081,0.3866,0.82,0.2066,0.01,288,11592,win,0.2,1775977200
btc-updown-15m-1775977200,down,7,36.95,0.0005321044103742172,0.2427,0.3659,0.87,0.2359,0.01,272,11206,win,0.2,1775977200
btc-updown-15m-1775977200,down,8,25.29,0.0005318694236300829,0.1834,0.4009,0.89,0.2909,0.01,257,6715,win,0.2,1775977200
btc-updown-15m-1775977200,down,9,28.52,0.0005316058246631496,0.2195,0.3799,0.89,0.2699,0.01,236,5244,win,0.2,1775977200
btc-updown-15m-1775977200,down,10,2.73,0.0005314735753846141,0.0243,0.4872,0.78,0.2672,0.02,274,6165,win,0.2,1775977200
btc-updown-15m-1775977200,up,11,10.16,0.0005314735753846141,0.1001,0.5531,0.24,0.3131,0.01,182,9795,win,0.2,1775977200
btc-updown-15m-1775979000,up,5,8.7,0.0005329585866493492,0.0545,0.5287,0.64,0.1113,0.01,275,11755,win,0.36,1775979000
btc-updown-15m-1775979000,up,6,68.99,0.0005333791347221427,0.3736,0.7263,0.89,0.1637,0.01,265,7570,win,0.36,1775979000
btc-updown-15m-1775979000,up,7,71.32,0.0005331146869523242,0.3952,0.7454,0.91,0.1646,0.01,240,6991,win,0.36,1775979000
btc-updown-15m-1775979000,up,9,85.61,0.0005336108989753575,0.4588,0.8196,0.94,0.1204,0.01,219,4933,win,0.36,1775979000
btc-updown-15m-1775979000,up,10,82.99,0.0005333666447149178,0.4675,0.8342,0.96,0.1258,0.01,208,2704,win,0.36,1775979000
btc-updown-15m-1775979000,up,11,80.16,0.0005331563507248168,0.4769,0.8529,0.98,0.1271,0.01,206,583,win,0.36,1775979000
